ID,Title,Description,Brand/Type,Price (NOK),URL,Image
468114409,Seilbåt til salgs i Kroatia,Seilbåt til salgs i Kroatia,Gib'Sea Seilbåt/Motorseiler,320000,https://www.finn.no/mobility/item/468114409,https://images.finncdn.no/dynamic/default/item/468114409/33656648-ba98-4862-8650-545dcfa2493d
468487957,Unikt prosjekt av høy kvalitet med mange muligheter,Unikt prosjekt av høy kvalitet med mange muligheter,Colin Archer Seilbåt/Motorseiler,500000,https://www.finn.no/mobility/item/468487957,https://images.finncdn.no/dynamic/default/item/468487957/11c4f48c-ca86-4eb4-88c5-36dad714b627
468499866,Sun Odyssey 37 - svært velutstyrt og nydelig holdt!,Sun Odyssey 37 - svært velutstyrt og nydelig holdt!,Jeanneau Seilbåt/Motorseiler,749000,https://www.finn.no/mobility/item/468499866,https://images.finncdn.no/dynamic/default/item/468499866/87b08d7c-89d7-4d33-8a4b-33f0ec6cffd1
468499471,Hunter 36 Legend - Romslig og fin familieseiler!,Hunter 36 Legend - Romslig og fin familieseiler!,Hunter Seilbåt/Motorseiler,690000,https://www.finn.no/mobility/item/468499471,https://images.finncdn.no/dynamic/default/item/468499471/235ae86b-bdf1-49a0-9fa7-49959fd0e67d
276176954,"Omega 34 – Svensk klassiker, nylig motorservice og bunnstoff (juni 2026)","Omega 34 – Svensk klassiker, nylig motorservice og bunnstoff (juni 2026)",Omega Seilbåt/Motorseiler,120000,https://www.finn.no/mobility/item/276176954,https://images.finncdn.no/dynamic/default/item/276176954/bb37ed3a-8a56-4122-829b-21117cc1c394
468364160,Magic 41 KETCH-Klassisk lang turseiler med stort potensial,Magic 41 KETCH-Klassisk lang turseiler med stort potensial,Andre Seilbåt/Motorseiler,349000,https://www.finn.no/mobility/item/468364160,https://images.finncdn.no/dynamic/default/item/468364160/606f5b6e-3cf3-4090-b8a5-656b6ff1dfed
468343292,Klassisk langkjølt seilbåt / motorseiler – Eivind Amble-konstruksjon,Klassisk langkjølt seilbåt / motorseiler – Eivind Amble-konstruksjon,MS Boat Seilbåt/Motorseiler,140000,https://www.finn.no/mobility/item/468343292,https://images.finncdn.no/dynamic/default/item/468343292/055e2ed8-033c-4045-b166-092534db3589
468336595,Bavaria 42 C 2004 mod,Bavaria 42 C 2004 mod,Bavaria Seilbåt/Motorseiler,830000,https://www.finn.no/mobility/item/468336595,https://images.finncdn.no/dynamic/default/item/468336595/e5e24a57-d33f-4aad-a378-1f110cc95e5c
466154161,Klassiker vedlikeholdt av fagfolk og oppbevart i oppvarmet hall om vinteren,Klassiker vedlikeholdt av fagfolk og oppbevart i oppvarmet hall om vinteren,Nauticat Seilbåt/Motorseiler,475000,https://www.finn.no/mobility/item/466154161,https://images.finncdn.no/dynamic/default/item/466154161/a2d923c8-0d5f-4a9d-974d-c5f284004d34
468207333,Finnsailer 35       1973 modell,Finnsailer 35       1973 modell,Finnsailer Seilbåt/Motorseiler,65000,https://www.finn.no/mobility/item/468207333,https://images.finncdn.no/dynamic/default/item/468207333/f759b692-c03c-4a51-a7e2-4862362548d5
468196325,Dufour 38 Classic - en eier og svært velholdt!,Dufour 38 Classic - en eier og svært velholdt!,Dufour Seilbåt/Motorseiler,795000,https://www.finn.no/mobility/item/468196325,https://images.finncdn.no/dynamic/default/item/468196325/e8ed26f9-0e86-4c5a-b6d6-474e8cc95e3c
468125968,Ønsker du å seile i Middelhavet eller bare ha en hytte på sjøen i Spania,Ønsker du å seile i Middelhavet eller bare ha en hytte på sjøen i Spania,Beneteau Seilbåt/Motorseiler,750000,https://www.finn.no/mobility/item/468125968,https://images.finncdn.no/dynamic/default/item/468125968/9df38eb1-5fa0-4d6e-98f9-b5ba018368e3
466969117,Jeanneau Sun Odyssey 35,Jeanneau Sun Odyssey 35,Jeanneau Seilbåt/Motorseiler,690000,https://www.finn.no/mobility/item/466969117,https://images.finncdn.no/dynamic/default/item/466969117/5e57262d-fb68-4046-ad86-cca48f16ac86
465767521,Lettseilt turbåt,Lettseilt turbåt,Bavaria Seilbåt/Motorseiler,390000,https://www.finn.no/mobility/item/465767521,https://images.finncdn.no/dynamic/default/item/465767521/1c871374-8918-4137-9659-f483b1a59cbc
